City,Latitude,Longitude,Continent Name,Country_name
Kabul,34.51666667,69.183333,Asia,Afghanistan
Mariehamn,60.116667,19.9,Europe,Aland Islands
Tirana,41.31666667,19.816667,Europe,Albania
Algiers,36.75,3.05,Africa,Algeria
Pago Pago,-14.26666667,-170.7,Australia,American Samoa
Andorra la Vella,42.5,1.516667,Europe,Andorra
Luanda,-8.833333333,13.216667,Africa,Angola
The Valley,18.21666667,-63.05,North America,Anguilla
Saint John’s,17.11666667,-61.85,North America,Antigua and Barbuda
Buenos Aires,-34.58333333,-58.666667,South America,Argentina
Yerevan,40.16666667,44.5,Europe,Armenia
Oranjestad,12.51666667,-70.033333,North America,Aruba
Canberra,-35.26666667,149.133333,Australia,Australia
Vienna,48.2,16.366667,Europe,Austria
Baku,40.38333333,49.866667,Europe,Azerbaijan
Nassau,25.08333333,-77.35,North America,Bahamas
Manama,26.23333333,50.566667,Asia,Bahrain
Dhaka,23.71666667,90.4,Asia,Bangladesh
Bridgetown,13.1,-59.616667,North America,Barbados
Minsk,53.9,27.566667,Europe,Belarus
Brussels,50.83333333,4.333333,Europe,Belgium
Belmopan,17.25,-88.766667,Central America,Belize
Porto-Novo,6.483333333,2.616667,Africa,Benin
Hamilton,32.28333333,-64.783333,North America,Bermuda
Thimphu,27.46666667,89.633333,Asia,Bhutan
La Paz,-16.5,-68.15,South America,Bolivia
Sarajevo,43.86666667,18.416667,Europe,Bosnia and Herzegovina
Gaborone,-24.63333333,25.9,Africa,Botswana
Brasilia,-15.78333333,-47.916667,South America,Brazil
Diego Garcia,-7.3,72.4,Africa,British Indian Ocean Territory
Road Town,18.41666667,-64.616667,North America,British Virgin Islands
Bandar Seri Begawan,4.883333333,114.933333,Asia,Brunei Darussalam
Sofia,42.68333333,23.316667,Europe,Bulgaria
Ouagadougou,12.36666667,-1.516667,Africa,Burkina Faso
Bujumbura,-3.366666667,29.35,Africa,Burundi
Phnom Penh,11.55,104.916667,Asia,Cambodia
Yaounde,3.866666667,11.516667,Africa,Cameroon
Ottawa,45.41666667,-75.7,Central America,Canada
Praia,14.91666667,-23.516667,Africa,Cape Verde
George Town,19.3,-81.383333,North America,Cayman Islands
Bangui,4.366666667,18.583333,Africa,Central African Republic
N’Djamena,12.1,15.033333,Africa,Chad
Santiago,-33.45,-70.666667,South America,Chile
Beijing,39.91666667,116.383333,Asia,China
The Settlement,-10.41666667,105.716667,Australia,Christmas Island
